Domaine,Temps_Lecture,Scrolls,Clics,Progression,Note_Quiz
Sciences,52.56617189410436,17,65,0.222216280255369,17.227072372489516
Langues,21.77836002524874,44,62,0.9601022270614769,12.745044515404347
Littérature,47.909173494693896,25,40,0.306125776925564,20.0
Sciences,41.691255657761175,39,87,0.40407843927903075,13.31736449908428
Langues,57.75630172362819,39,3,0.4369056605326401,20.0
Langues,23.012328864588042,44,49,0.8588168349513781,13.446031560197865
Langues,17.71388888290018,18,20,0.9825105641102578,15.563146897153583
Langues,25.606050764084994,45,72,0.9104233605690607,12.7193603943114
Littérature,22.897938909895935,21,15,0.43457715866317215,16.052892660839156
Langues,47.84163802367564,10,99,0.6388409271502317,16.359639367744226
Littérature,46.65546519233992,32,31,0.4765406997886642,20.0
Histoire,43.484245042766695,8,4,0.18410185059361228,20.0
Sciences,20.81895572292439,27,75,0.09017504522578224,9.2074685885329
Langues,53.09034037195448,23,23,0.35373124126497857,20.0
Histoire,57.82857779294638,33,48,0.8718392457952222,20.0
Sciences,36.58029090543222,5,55,0.5616663194016763,15.752491239773141
Sciences,42.46863653146929,19,88,0.1781390420976503,13.66361048270598
Sciences,35.0346049510281,20,49,0.5700194185336621,14.767284652898324
Histoire,24.17788575513019,46,74,0.3897268419931106,10.606321675455584
Littérature,24.307380199830213,11,34,0.6046859600339813,17.78243322460567
Histoire,25.67102613674566,32,91,0.5772740930531897,11.065028526425595
Langues,19.5425002082077,7,9,0.07789228213247301,14.00074551245197
Langues,55.09618163146588,44,30,0.13901960906643018,19.59653916255911
Histoire,52.919906702334295,42,93,0.9861475444100899,17.29300720668776
Sciences,33.08196806594184,7,98,0.4271374557137323,12.339345953777132
Littérature,28.362570628008523,38,50,0.11879628033220524,15.865370878132152
Littérature,56.95391782735493,44,55,0.07782172805846532,20.0
Littérature,21.118673461640505,38,45,0.33824876734469156,14.125652273779771
Littérature,37.67709797334008,48,19,0.5129092206730221,19.37948521119986
Sciences,12.724907777108132,26,79,0.7992766137631849,9.223071209777181
Littérature,19.56010985087245,19,3,0.18164603538062385,15.267840051971442
Sciences,40.201346667975486,16,11,0.15420652883266628,17.416742957804306
Langues,43.10918264220849,29,90,0.5261957779085713,14.847463398302281
Sciences,39.04979093366198,48,71,0.1492048156902318,12.19214771430109
Langues,53.48007079996449,6,29,0.6971180752145104,20.0
Littérature,59.67026104113735,8,54,0.13946614360077514,20.0
Histoire,48.19309210764556,13,93,0.6843790755312157,16.783159666454786
Langues,33.25458920718794,37,17,0.9405871921535927,17.979124894004556
Langues,51.696733472705134,49,86,0.400623125674169,15.854700081295222
Sciences,16.019369708300083,20,87,0.12975625834695648,6.91618116194643
Histoire,44.16353482229649,40,62,0.9808341508185815,17.464257955991037
Langues,35.9168893726717,33,83,0.5607244320942677,13.652189335464334
Sciences,18.90329431278592,5,1,0.6317675966091069,15.199704293587166
Littérature,58.6466808640107,43,73,0.820802272752233,20.0
Langues,26.921870988937375,8,67,0.6944349942762039,14.096326896986623
Littérature,40.77117029816917,3,60,0.44027419440534676,19.380682415515693
Langues,53.9297118762476,43,10,0.5145625561425535,20.0
Langues,35.33444219574103,24,36,0.5560773415440036,16.69405645581066
Histoire,15.756892508821593,38,78,0.4453604127635,9.024133364725744
Langues,50.936954217364494,13,59,0.7097860993749115,19.459288979951975
Sciences,27.660688352940024,45,93,0.46551093759786666,9.470494208295298
Littérature,59.15334344459194,33,45,0.22716346912978858,20.0
Littérature,54.1912723222279,42,22,0.26373240519929186,20.0
Littérature,52.672466667447864,33,1,0.8536530683858521,20.0
Langues,27.81265887689497,4,84,0.14513599535839117,11.735610455053672
Sciences,47.856488890453285,22,73,0.26207348326361424,15.777584250804683
Langues,59.31645315007944,28,35,0.6951739995410394,20.0
Histoire,36.31608059756657,27,59,0.021055998115749874,13.912487087740736
Sciences,33.53660774776158,4,89,0.8005987470172174,14.667648718019775
Langues,10.73329104860354,43,52,0.5872171879986049,9.803210897084194
Langues,45.010188436746816,38,75,0.2570637419820546,15.124949354273559
Histoire,52.92387843009271,15,13,0.3843401139515661,20.0
Langues,22.3728593040915,29,6,0.5856805789136532,15.606277846970162
Histoire,25.75122885573284,22,42,0.453477871049354,14.033277802588332
Langues,35.03385106630782,34,73,0.9208792938820882,15.04268415660312
Sciences,13.604007868075843,23,67,0.9527351373023338,10.533511845637582
Histoire,14.48212380493685,45,89,0.28323483949490846,7.235373512083676
